company_id;account_id;keyword;is_regex;case_sensitive;match_type;pattern_description;priority
1;9;QR.*KF.*0390;1;0;regex;QR pattern: QR...KF...0390;8
1;9;CAKUNG;0;0;contains;Location word: CAKUNG (from CAKUNG GEDE);7
1;9;GEDE;0;0;contains;Location word: GEDE (from CAKUNG GEDE);7
1;9;pc cakunggede;0;0;contains;Internal code: pc cakunggede;6
1;9;bs cakunggede;0;0;contains;Internal code: bs cakunggede;6
1;9;bo cakunggede;0;0;contains;Internal code: bo cakunggede;6
1;10;A_07;0;0;contains;Exact code: A_07;10
1;10;A07;0;0;contains;Code without underscore: A07;10
1;10;KF 0405;0;0;contains;KF + number with space: KF 0405;10
1;10;KF0405;0;0;contains;KF + number without space: KF0405;10
1;10;DAAN;0;0;contains;Full location name: DAAN;10
1;10;KF 405;0;0;contains;KF + number no zero: KF 405;9
1;10;KF405;0;0;contains;KF + number no zero (no space): KF405;9
1;10;405;0;0;contains;Number only: 0405 (Context: after KF or in transaction code);8
1;10;LIPH KF DAAN;0;0;contains;LIPH prefix: LIPH KF DAAN;9
1;10;QR.*KF.*0405;1;0;regex;QR pattern: QR...KF...0405;8
1;10;DAAN;0;0;contains;Location word: DAAN (from DAAN);7
1;10;pc daan;0;0;contains;Internal code: pc daan;6
1;10;bs daan;0;0;contains;Internal code: bs daan;6
1;10;bo daan;0;0;contains;Internal code: bo daan;6
1;11;A_08;0;0;contains;Exact code: A_08;10
1;11;A08;0;0;contains;Code without underscore: A08;10
1;11;KF 0406;0;0;contains;KF + number with space: KF 0406;10
1;11;KF0406;0;0;contains;KF + number without space: KF0406;10
1;11;KALIMALANG;0;0;contains;Full location name: KALIMALANG;10
1;11;KF 406;0;0;contains;KF + number no zero: KF 406;9
1;11;KF406;0;0;contains;KF + number no zero (no space): KF406;9
1;11;406;0;0;contains;Number only: 0406 (Context: after KF or in transaction code);8
1;11;LIPH KF KALIMALANG;0;0;contains;LIPH prefix: LIPH KF KALIMALANG;9
1;11;QR.*KF.*0406;1;0;regex;QR pattern: QR...KF...0406;8
1;11;KALIMALANG;0;0;contains;Location word: KALIMALANG (from KALIMALANG);7
1;11;pc kalimalang;0;0;contains;Internal code: pc kalimalang;6
1;11;bs kalimalang;0;0;contains;Internal code: bs kalimalang;6
1;11;bo kalimalang;0;0;contains;Internal code: bo kalimalang;6
1;11;krg;0;0;contains;Abbreviation: krg for KALIMALANG;5
1;12;A_09;0;0;contains;Exact code: A_09;10
1;12;A09;0;0;contains;Code without underscore: A09;10
1;12;KF 0007;0;0;contains;KF + number with space: KF 0007;10
1;12;KF0007;0;0;contains;KF + number without space: KF0007;10
1;12;CIBITUNG;0;0;contains;Full location name: CIBITUNG;10
1;12;KF 7;0;0;contains;KF + number no zero: KF 7;9
1;12;KF7;0;0;contains;KF + number no zero (no space): KF7;9
1;12;7;0;0;contains;Number only: 0007 (Context: after KF or in transaction code);8
1;12;LIPH KF CIBITUNG;0;0;contains;LIPH prefix: LIPH KF CIBITUNG;9
1;12;QR.*KF.*0007;1;0;regex;QR pattern: QR...KF...0007;8
1;12;CIBITUNG;0;0;contains;Location word: CIBITUNG (from CIBITUNG);7
1;12;pc cibitung;0;0;contains;Internal code: pc cibitung;6
1;12;bs cibitung;0;0;contains;Internal code: bs cibitung;6
1;12;bo cibitung;0;0;contains;Internal code: bo cibitung;6
1;13;A_091I;0;0;contains;Exact code: A_091I;10
1;13;A091I;0;0;contains;Code without underscore: A091I;10
1;13;KF 007 CB;0;0;contains;Full location name: KF 007 CB;10
1;13;LIPH KF KF 007 CB;0;0;contains;LIPH prefix: LIPH KF KF 007 CB;9
1;13;LIPH KFKF007CB;0;0;contains;LIPH no space: LIPH KFKF007CB;8
1;13;pc kf007cb;0;0;contains;Internal code: pc kf007cb;6
1;13;bs kf007cb;0;0;contains;Internal code: bs kf007cb;6
1;13;bo kf007cb;0;0;contains;Internal code: bo kf007cb;6
1;13;RESEP KF 007 CB;0;0;contains;Resep location: RESEP KF 007 CB;8
1;14;A_11;0;0;contains;Exact code: A_11;10
1;14;A11;0;0;contains;Code without underscore: A11;10
1;14;KF 0456;0;0;contains;KF + number with space: KF 0456;10
1;14;KF0456;0;0;contains;KF + number without space: KF0456;10
1;14;GRANWIS;0;0;contains;Full location name: GRANWIS;10
1;14;KF 456;0;0;contains;KF + number no zero: KF 456;9
1;14;KF456;0;0;contains;KF + number no zero (no space): KF456;9
1;14;456;0;0;contains;Number only: 0456 (Context: after KF or in transaction code);8
1;14;LIPH KF GRANWIS;0;0;contains;LIPH prefix: LIPH KF GRANWIS;9
1;14;QR.*KF.*0456;1;0;regex;QR pattern: QR...KF...0456;8
1;14;GRANWIS;0;0;contains;Location word: GRANWIS (from GRANWIS);7
1;14;pc granwis;0;0;contains;Internal code: pc granwis;6
1;14;bs granwis;0;0;contains;Internal code: bs granwis;6
1;14;bo granwis;0;0;contains;Internal code: bo granwis;6
1;14;grwis;0;0;contains;Abbreviation: grwis for GRANWIS;5
1;15;A_13;0;0;contains;Exact code: A_13;10
1;15;A13;0;0;contains;Code without underscore: A13;10
1;15;KF 0503;0;0;contains;KF + number with space: KF 0503;10
1;15;KF0503;0;0;contains;KF + number without space: KF0503;10
1;15;TAMAN MINI;0;0;contains;Full location name: TAMAN MINI;10
1;15;KF 503;0;0;contains;KF + number no zero: KF 503;9
1;15;KF503;0;0;contains;KF + number no zero (no space): KF503;9
1;15;503;0;0;contains;Number only: 0503 (Context: after KF or in transaction code);8
1;15;LIPH KF TAMAN MINI;0;0;contains;LIPH prefix: LIPH KF TAMAN MINI;9
1;15;LIPH KFTAMANMINI;0;0;contains;LIPH no space: LIPH KFTAMANMINI;8
1;15;QR.*KF.*0503;1;0;regex;QR pattern: QR...KF...0503;8
1;15;TAMAN;0;0;contains;Location word: TAMAN (from TAMAN MINI);7
1;15;MINI;0;0;contains;Location word: MINI (from TAMAN MINI);7
1;15;pc tamanmini;0;0;contains;Internal code: pc tamanmini;6
1;15;bs tamanmini;0;0;contains;Internal code: bs tamanmini;6
1;15;bo tamanmini;0;0;contains;Internal code: bo tamanmini;6
1;16;A_15;0;0;contains;Exact code: A_15;10
1;16;A15;0;0;contains;Code without underscore: A15;10
1;16;KF 0586;0;0;contains;KF + number with space: KF 0586;10
1;16;KF0586;0;0;contains;KF + number without space: KF0586;10
1;16;CILEUNGSI;0;0;contains;Full location name: CILEUNGSI;10
1;16;KF 586;0;0;contains;KF + number no zero: KF 586;9
1;16;KF586;0;0;contains;KF + number no zero (no space): KF586;9
1;16;586;0;0;contains;Number only: 0586 (Context: after KF or in transaction code);8
1;16;LIPH KF CILEUNGSI;0;0;contains;LIPH prefix: LIPH KF CILEUNGSI;9
1;16;QR.*KF.*0586;1;0;regex;QR pattern: QR...KF...0586;8
1;16;CILEUNGSI;0;0;contains;Location word: CILEUNGSI (from CILEUNGSI);7
1;16;pc cileungsi;0;0;contains;Internal code: pc cileungsi;6
1;16;bs cileungsi;0;0;contains;Internal code: bs cileungsi;6
1;16;bo cileungsi;0;0;contains;Internal code: bo cileungsi;6
1;17;A_20;0;0;contains;Exact code: A_20;10
1;17;A20;0;0;contains;Code without underscore: A20;10
1;17;KF 0591;0;0;contains;KF + number with space: KF 0591;10
1;17;KF0591;0;0;contains;KF + number without space: KF0591;10
1;17;ZAMRUD;0;0;contains;Full location name: ZAMRUD;10
1;17;KF 591;0;0;contains;KF + number no zero: KF 591;9
1;17;KF591;0;0;contains;KF + number no zero (no space): KF591;9
1;17;591;0;0;contains;Number only: 0591 (Context: after KF or in transaction code);8
1;17;LIPH KF ZAMRUD;0;0;contains;LIPH prefix: LIPH KF ZAMRUD;9
1;17;QR.*KF.*0591;1;0;regex;QR pattern: QR...KF...0591;8
1;17;ZAMRUD;0;0;contains;Location word: ZAMRUD (from ZAMRUD);7
1;17;pc zamrud;0;0;contains;Internal code: pc zamrud;6
1;17;bs zamrud;0;0;contains;Internal code: bs zamrud;6
1;17;bo zamrud;0;0;contains;Internal code: bo zamrud;6
1;18;A_21;0;0;contains;Exact code: A_21;10
1;18;A21;0;0;contains;Code without underscore: A21;10
1;18;KF 0624;0;0;contains;KF + number with space: KF 0624;10
1;18;KF0624;0;0;contains;KF + number without space: KF0624;10
1;18;CISC;0;0;contains;Full location name: CISC;10
1;18;KF 624;0;0;contains;KF + number no zero: KF 624;9
1;18;KF624;0;0;contains;KF + number no zero (no space): KF624;9
1;18;624;0;0;contains;Number only: 0624 (Context: after KF or in transaction code);8
1;18;LIPH KF CISC;0;0;contains;LIPH prefix: LIPH KF CISC;9
1;18;QR.*KF.*0624;1;0;regex;QR pattern: QR...KF...0624;8
